x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
0.0,0.0,8.3,2.5,0.0,-5.2,-6.0,3.0,3.0,3.0
0.001,-0.0010960216896704364,8.298231967654889,2.5055000271232495,4.6020104541957654e-7,-5.198237736476033,-6.002197985739191,2.9999955612750053,3.0000057689488124,2.999997958964848
0.0021,-0.00218408090787679,8.296447867686888,2.5110000987623335,1.8406315501786957e-6,-5.196470947067014,-6.004391942106169,2.9999822394553104,3.000023079872114,2.9999918446848883
0.0032,-0.003264168861576309,8.294647695625203,2.5165002003666666,4.1410316985939965e-6,-5.194699633509774,-6.006581867825868,2.9999600260045938,3.000051938982834,2.9999816704364113
0.0043,-0.0043362766871375205,8.2928314468783,2.522000317369097,7.361140445670559e-6,-5.192923797534125,-6.0087677616212565,2.9999289123171584,3.000092352607623,2.999967449510332
0.0054,-0.005400395450008968,8.290999116733673,2.527500435185388,1.1500695513370953e-5,-5.191143440862857,-6.010949622213327,2.999888889717606,3.000144327187089,2.9999491952126975
0.0065,-0.006456516144384272,8.289150700357636,2.5330005392137,1.6559433386857853e-5,-5.189358565211755,-6.01312744832109,2.9998399494605064,3.000207869276039,2.999926920865199
0.0076,-0.007504629692863458,8.287286192795062,2.5385006148340694,2.2537089310709976e-5,-5.187569172289607,-6.01530123866157,2.999782082730059,3.0002829855437265,2.9999006398056878
0.0087,-0.008544726946110543,8.28540558896916,2.5440006474078847,2.9433397285111453e-5,-5.185775263798218,-6.017470991949793,2.999715280639756,3.000369682774101,2.9998703653886927
0.0098,-0.009576798682507326,8.283508883681211,2.5495006222773595,3.724809006201414e-5,-5.18397684143242,-6.019636706898786,2.9996395342320423,3.0004679678660717,2.999836110985932
0.0109,-0.010600835607803352,8.281596071610334,2.5550005247650103,4.598089914127312e-5,-5.182173906880079,-6.021798382219563,2.9995548344779634,3.0005778478337684,2.9997978899868465
0.012,-0.011616828354762031,8.2796671473132,2.5605003401731183,5.563155476675497e-5,-5.180366461822108,-6.0239560166211215,2.999461172276822,3.000699329806811,2.999755715799112
0.0131,-0.012624767482802848,8.277722105223798,2.566000053783202,6.619978592241884e-5,-5.178554507932476,-6.026109608810438,2.999358538455818,3.000832421030586,2.9997096018491707
0.0142,-0.013624643477639638,8.275760939653145,2.571499650855482,7.76853203283701e-5,-5.17673804687822,-6.02825915749246,2.999246923769694,3.0009771288665252,2.9996595615827597
